,crn,subject,course,section,title,instructor,dates,seats,waitlist
93,17783,C S,4910,4,Senior Reading and Research,"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
94,17784,C S,4910,5,Senior Reading and Research,"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
95,17785,C S,4910,6,Senior Reading and Research,"Diochnos, Dimitrios",Jan 13 - May 9,3 out of 3,No Wait List
96,17786,C S,4910,7,Senior Reading and Research,"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
97,17787,C S,4910,8,Senior Reading and Research,"Quadri, Ghulam",Jan 13 - May 9,2 out of 3,No Wait List
98,17788,C S,4910,9,Senior Reading and Research,"Radhakrishnan, Sridhar",Jan 13 - May 9,3 out of 3,No Wait List
99,17789,C S,4910,10,Senior Reading and Research,"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
100,17790,C S,4910,12,Senior Reading and Research,"Fang, Song",Jan 13 - May 9,3 out of 3,No Wait List
101,17791,C S,4910,13,Senior Reading and Research,"Maiti, Anindya",Jan 13 - May 9,3 out of 3,No Wait List
102,17792,C S,4910,15,Senior Reading and Research,"Cheng, Qi",Jan 13 - May 9,3 out of 3,No Wait List
103,17794,C S,4910,17,Senior Reading and Research,"Weaver, Christopher",Jan 13 - May 9,3 out of 3,No Wait List
104,17795,C S,4910,18,Senior Reading and Research,"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
105,17793,C S,4910,23,Senior Reading and Research,"Veras, Richard",Jan 13 - May 9,3 out of 3,No Wait List
106,25391,C S,5013,1,Artificial Intelligence,"Habibi, Golnaz",Jan 13 - May 2,1 out of 30,0 Waiting
107,42029,C S,5033,1,Machine Learning Fundamentals,"Diochnos, Dimitrios",Jan 13 - May 2,1 out of 15,No Wait List
108,47838,C S,5033,2,Machine Learning Fundamentals,"Lin, Beiyu",Jan 13 - May 2,1 out of 15,No Wait List
109,36337,C S,5043,1,Advanced Machine Learning,"Fagg, Andrew",Jan 13 - May 2,12 out of 30,No Wait List
110,45993,C S,5183,1,Wireless and Mobile Networks,"Zhao, Shangqing",Jan 13 - May 2,9 out of 24,No Wait List
111,42229,C S,5433,1,Linear Optimization,"Khanmohammadi, Sina",Jan 13 - May 2,1 out of 8,No Wait List
112,31967,C S,5463,1,Adv Computer Architecture,"Barnes Jr, Ronald",Jan 13 - May 2,9 out of 12,No Wait List
113,45719,C S,5970,1,Cyber Attacks & Defenses,"Maiti, Anindya",Jan 13 - May 2,1 out of 40,No Wait List
114,47615,C S,5970,2,Information Visualization,"Quadri, Ghulam",Jan 13 - May 2,1 out of 20,No Wait List
115,17799,C S,5980,2,Research for Master's Thesis,"Ebert, David",Jan 13 - May 9,3 out of 3,No Wait List
116,17801,C S,5980,4,Research for Master's Thesis,"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
117,17802,C S,5980,5,Research for Master's Thesis,"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
118,17803,C S,5980,6,Research for Master's Thesis,"Diochnos, Dimitrios",Jan 13 - May 9,2 out of 3,No Wait List
119,17804,C S,5980,7,Research for Master's Thesis,"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
120,17805,C S,5980,8,Research for Master's Thesis,"Cao, Jie",Jan 13 - May 9,3 out of 3,No Wait List
121,17806,C S,5980,9,Research for Master's Thesis,"Radhakrishnan, Sridhar",Jan 13 - May 9,2 out of 3,No Wait List
122,17807,C S,5980,10,Research for Master's Thesis,"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
123,45788,C S,5980,11,Research for Master's Thesis,"Moussa, Marmar",Jan 13 - May 9,3 out of 3,No Wait List
124,17808,C S,5980,12,Research for Master's Thesis,"Fang, Song",Jan 13 - May 9,3 out of 3,No Wait List
125,17809,C S,5980,13,Research for Master's Thesis,"Maiti, Anindya",Jan 13 - May 9,3 out of 3,No Wait List
126,43461,C S,5980,14,Research for Master's Thesis,"Lan, Chao",Jan 13 - May 9,3 out of 3,No Wait List
127,17810,C S,5980,15,Research for Master's Thesis,"Cheng, Qi",Jan 13 - May 9,3 out of 3,No Wait List
128,17811,C S,5980,16,Research for Master's Thesis,"Habibi, Golnaz",Jan 13 - May 9,3 out of 3,No Wait List
129,17812,C S,5980,17,Research for Master's Thesis,"Weaver, Christopher",Jan 13 - May 9,3 out of 3,No Wait List
130,17813,C S,5980,18,Research for Master's Thesis,"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
131,45789,C S,5980,20,Research for Master's Thesis,TBA,Jan 13 - May 9,3 out of 3,No Wait List
132,43457,C S,5980,21,Research for Master's Thesis,"Quadri, Ghulam",Jan 13 - May 9,3 out of 3,No Wait List
133,43458,C S,5980,22,Research for Master's Thesis,"Khanmohammadi, Sina",Jan 13 - May 9,3 out of 3,No Wait List
134,43459,C S,5980,23,Research for Master's Thesis,"Veras, Richard",Jan 13 - May 9,3 out of 3,No Wait List
135,47702,C S,5980,24,Research for Master's Thesis,"Demirel, Doga",Jan 13 - May 9,3 out of 3,No Wait List
136,47703,C S,5980,25,Research for Master's Thesis,"Lin, Beiyu",Jan 13 - May 9,3 out of 3,No Wait List
137,17817,C S,5990,2,Independent Studies,"Ebert, David",Jan 13 - May 9,3 out of 3,No Wait List
138,17819,C S,5990,4,Independent Studies,"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
139,17820,C S,5990,5,Independent Studies,"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
140,17821,C S,5990,6,Independent Studies,"Diochnos, Dimitrios",Jan 13 - May 9,3 out of 3,No Wait List
141,17822,C S,5990,7,Independent Studies,"Zhao, Shangqing",Jan 13 - May 9,1 out of 3,No Wait List
142,17824,C S,5990,8,Independent Studies,"Cao, Jie",Jan 13 - May 9,3 out of 3,No Wait List
143,17825,C S,5990,9,Independent Studies,"Radhakrishnan, Sridhar",Jan 13 - May 9,1 out of 3,No Wait List
144,17826,C S,5990,10,Independent Studies,"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
145,27072,C S,5990,11,Independent Studies,"Moussa, Marmar",Jan 13 - May 9,1 out of 3,No Wait List
146,17828,C S,5990,12,Independent Studies,"Fang, Song",Jan 13 - May 9,2 out of 3,No Wait List
147,17829,C S,5990,13,Independent Studies,"Maiti, Anindya",Jan 13 - May 9,2 out of 3,No Wait List
148,43074,C S,5990,14,Independent Studies,"Lan, Chao",Jan 13 - May 9,3 out of 3,No Wait List
149,17831,C S,5990,15,Independent Studies,"Cheng, Qi",Jan 13 - May 9,2 out of 3,No Wait List
150,17832,C S,5990,16,Independent Studies,"Habibi, Golnaz",Jan 13 - May 9,2 out of 3,No Wait List
151,17833,C S,5990,17,Independent Studies,"Weaver, Christopher",Jan 13 - May 9,3 out of 3,No Wait List
152,17835,C S,5990,18,Independent Studies,"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
